idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
45,0.61875,0.0409375,601.5019815059445,305.77331606217615,1,0.0,0.3739057386654264,0.17206255136105233,1775093987.917348,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0045.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0045_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0045_mask.png
46,0.5878125,0.0409375,601.692789968652,285.5406050955414,1,0.0,0.09893416113414984,0.0531324512578982,1775093996.7150457,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0046.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0046_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0046_mask.png
47,0.556875,0.0409375,601.6264066016504,271.89422355588897,1,0.0,0.02762703012968908,0.050280960843390496,1775094005.270035,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0047.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0047_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0047_mask.png
48,0.5259375,0.0409375,601.6389751552795,258.2166149068323,1,0.0,0.12785328017072298,0.060053220747042786,1775094013.924743,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0048.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0048_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0048_mask.png
49,0.495,0.0409375,601.7740712661107,244.35054773082942,1,0.0,0.1824769076213075,0.2661775348957912,1775094022.6073244,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0049.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0049_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0049_mask.png
50,0.4640625,0.0409375,602.0045420136261,231.1665404996215,1,0.0,0.11226811503250393,0.040086631121054705,1775094031.4206653,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0050.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0050_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0050_mask.png
51,0.433125,0.0409375,601.9211746522411,217.41808346213293,1,0.0,0.4137369641866349,0.06474918593178972,1775094040.1212218,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0051.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0051_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0051_mask.png
52,0.4021875,0.0409375,601.8911411411411,203.95678092399405,1,0.0,0.09977511324410608,0.048791707533168506,1775094048.7254512,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0052.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0052_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0052_mask.png
53,0.37124999999999997,0.0409375,602.0340393343419,190.306463878327,1,0.0,0.030080162841741028,0.06723872850379095,1775094057.4086592,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0053.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0053_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0053_mask.png
54,0.3403125,0.0409375,601.7849141150112,175.9947722180732,1,0.0,0.06006987939113448,0.05476663805705057,1775094066.0644457,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0054.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0054_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0054_mask.png
